Y,λ_ets,λ_product,BF-BOF_b,BF-BOF_cap,BF-BOF_g,BF-BlendH2-BOF_b,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g,HDRI-EAF_b,HDRI-EAF_cap,HDRI-EAF_g,BF-BlendNG-BOF_b,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g,fringe_a,fringe_b,fringe_g
2036,468.3896,356.1941,8.0755,0.0,0.0,8.0755,0.0,0.0,8.0755,0.0,106.8999,8.0755,0.0,0.0,0.0,566.4498,0.0
2037,501.1769,356.1941,6.6559,0.0,0.0,6.6559,0.0,0.0,6.6559,0.0,106.8999,6.6559,0.0,0.0,0.0,511.1446,0.0
2038,536.2593,356.1941,4.8553,0.0,0.0,4.8553,0.0,0.0,4.8553,0.0,106.8999,4.8553,0.0,0.0,0.0,457.3628,0.0
2039,573.7974,356.1941,2.6472,0.0,0.0,2.6472,0.0,0.0,2.6472,0.0,106.8999,2.6472,0.0,0.0,0.0,405.2111,0.0
2040,613.9632,356.1941,0.0031,0.0,0.0,0.0031,0.0,0.0,0.0031,0.0,106.8999,0.0031,0.0,0.0,0.0,354.8037,0.0
2041,656.9407,356.1941,-3.1076,0.0,0.0,-3.1076,0.0,0.0,-3.1076,0.0,106.8999,-3.1076,0.0,0.0,0.0,306.2625,0.0
2042,702.9265,356.1941,-6.7176,0.0,0.0,-6.7176,0.0,0.0,-6.7176,0.0,106.8999,-6.7176,0.0,0.0,0.0,259.7183,0.0
2043,752.1314,356.1941,-10.8617,0.0,0.0,-10.8617,0.0,0.0,-10.8617,0.0,106.8999,-10.8617,0.0,0.0,0.0,215.3107,0.0
2044,804.7805,356.1941,-15.5774,0.0,0.0,-15.5774,0.0,0.0,-15.5774,0.0,106.8999,-15.5774,0.0,0.0,0.0,173.1895,0.0
2045,861.1152,356.1941,-20.9047,0.0,0.0,-20.9047,0.0,0.0,-20.9047,0.0,106.8999,-20.9047,0.0,0.0,0.0,133.5146,0.0
2046,921.3932,356.1941,-27.6175,0.0,0.0,-27.6175,0.0,0.0,-27.6175,0.0,106.8999,-27.6175,0.0,0.0,0.0,110.4699,0.0
2047,985.8908,356.1941,-19.1282,0.0,0.0,-19.1282,0.0,0.0,-19.1282,0.0,106.8999,-19.1282,0.0,0.0,0.0,76.5129,0.0
2048,1054.9031,356.1941,-5.9709,0.0,0.0,-5.9709,0.0,0.0,-5.9709,0.0,106.8999,-5.9709,0.0,0.0,0.0,23.8835,0.0
2049,1083.0,356.1941,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,106.8999,-0.0,0.0,0.0,0.0,0.0,0.0
2050,1083.0,356.1941,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2051,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2052,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2053,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2054,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2055,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2056,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2057,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2058,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2059,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2060,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2061,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2062,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2063,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2064,1083.0,356.1941,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,106.8999,-0.0,0.0,0.0,0.0,0.0,0.0
2065,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2066,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2067,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2068,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2069,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2070,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2071,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2072,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2073,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2074,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2075,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2076,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2077,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2078,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2079,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2080,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2081,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2082,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2083,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2084,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2085,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2086,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2087,1083.0,356.1941,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,106.8999,-0.0,0.0,0.0,0.0,0.0,0.0
2088,1083.0,356.1941,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,106.8999,-0.0,0.0,0.0,0.0,0.0,0.0
2089,1083.0,356.1941,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,-0.0,0.0,0.0,0.0,0.0,0.0
2090,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2091,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2092,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2093,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2094,1083.0,356.1941,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,106.8999,-0.0,0.0,0.0,0.0,0.0,0.0
2095,1083.0,356.1941,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,-0.0,0.0,0.0,0.0,0.0,0.0
2096,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2097,1083.0,356.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8999,0.0,0.0,0.0,0.0,0.0,0.0
2098,1083.0,356.1941,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,106.8999,-0.0,0.0,0.0,0.0,0.0,0.0
