Y,λ_ets_scenario_1,λ_product_scenario_1,BF-BOF_b,BF-BOF_cap,BF-BOF_g,BF-BOF_bank,BF-BOF_netto_emiss,BF-BlendH2-BOF_b,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g,BF-BlendH2-BOF_bank,BF-BlendH2-BOF_netto_emiss,HDRI-EAF_b,HDRI-EAF_cap,HDRI-EAF_g,HDRI-EAF_bank,HDRI-EAF_netto_emiss,trader_b,trader_g,trader_bank,trader_netto_emiss,BF-BlendNG-BOF_b,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g,BF-BlendNG-BOF_bank,BF-BlendNG-BOF_netto_emiss,fringe_b,fringe_g,fringe_bank,fringe_netto_emiss
2036,246.669,623.1203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,50.9421,0.0,-794.1134,0.0,0.0,0.0,0.0,0.0,0.0,547.7496,0.0,1979.2977,555.3633
2037,263.9358,629.252,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,71.3097,0.0,-722.8037,0.0,0.0,0.0,0.0,0.0,0.0,466.3938,0.0,1924.1015,521.59
2038,282.4113,656.3822,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,95.2375,0.0,-627.5662,0.0,0.0,0.0,0.0,0.0,0.0,381.4775,0.0,1818.5802,486.9988
2039,302.1801,694.9383,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,122.9747,0.0,-504.5914,0.0,0.0,0.0,0.0,0.0,0.0,292.7515,0.0,1659.7617,451.5699
2040,323.3327,734.3509,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,154.7879,0.0,-349.8035,0.0,0.0,0.0,0.0,0.0,0.0,199.9491,0.0,1444.4278,415.283
2041,345.966,776.7967,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,190.9625,0.0,-158.841,0.0,0.0,0.0,0.0,0.0,0.0,102.7849,0.0,1169.0953,378.1174
2042,370.1837,822.3861,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,227.7329,0.0,68.8919,0.0,0.0,0.0,0.0,0.0,0.0,5.0247,0.0,834.0682,340.0518
2043,396.0965,874.9484,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,160.2226,0.0,229.1144,0.0,0.0,0.0,0.0,0.0,0.0,11.5447,0.0,544.5485,301.0644
2044,423.8233,928.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,63.8201,0.0,292.9346,0.0,0.0,0.0,0.0,0.0,0.0,46.9563,0.0,330.372,261.1328
2045,453.4909,984.6394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-35.645,0.0,257.2895,0.0,0.0,0.0,0.0,0.0,0.0,85.4302,0.0,195.568,220.2342
2046,485.2353,1047.4992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-105.311,0.0,151.9786,0.0,0.0,0.0,0.0,0.0,0.0,105.1924,0.0,122.4153,178.3452
2047,519.2017,1113.8332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-77.5491,0.0,74.4295,0.0,0.0,0.0,0.0,0.0,0.0,77.4223,0.0,64.3958,135.4417
2048,555.5459,1189.6452,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-48.9988,0.0,25.4307,0.0,0.0,0.0,0.0,0.0,0.0,48.8631,0.0,21.7596,91.4993
2049,594.4341,1239.0462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-25.0483,0.0,0.3824,0.0,0.0,0.0,0.0,0.0,0.0,24.9031,0.0,0.1698,46.4928
2050,636.0442,1243.3531,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,-0.3824,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.2269,0.0,0.0,0.3967
2051,649.0436,1247.7461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2052,662.0245,1252.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2053,675.2649,1256.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,688.7702,1265.1277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,702.5456,1273.4315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2056,716.5966,1281.9013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2057,730.9285,1288.6917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,745.5471,1293.598,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
