Y,λ_ets_scenario_1,λ_product_scenario_1,BF-BOF_b,BF-BOF_cap,BF-BOF_g,BF-BOF_bank,BF-BOF_netto_emiss,BF-BlendH2-BOF_b,BF-BlendH2-BOF_cap,BF-BlendH2-BOF_g,BF-BlendH2-BOF_bank,BF-BlendH2-BOF_netto_emiss,HDRI-EAF_b,HDRI-EAF_cap,HDRI-EAF_g,HDRI-EAF_bank,HDRI-EAF_netto_emiss,trader_b,trader_g,trader_bank,trader_netto_emiss,BF-BlendNG-BOF_b,BF-BlendNG-BOF_cap,BF-BlendNG-BOF_g,BF-BlendNG-BOF_bank,BF-BlendNG-BOF_netto_emiss,fringe_b,fringe_g,fringe_bank,fringe_netto_emiss
2034,206.4561,571.0374,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-58.4103,0.0,-816.9415,0.0,175.2056,0.0,106.8979,0.0,175.2057,603.959,0.0,1988.9596,598.6009
2035,220.8928,599.2629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.238,0.0,-869.1794,0.0,188.4731,0.0,106.9836,13.127,175.3461,523.4972,0.0,1945.3338,567.123
2036,236.4289,629.9366,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,6.2237,0.0,0.0,-18.1698,0.0,-887.3492,0.0,152.051,0.0,100.7797,0.0,165.178,464.8668,0.0,1875.568,534.6326
2037,252.9044,652.7774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4494,107.0,0.0,0.0,76.9564,0.0,-810.3928,0.0,0.0,0.0,0.0,0.0,0.0,460.8056,0.0,1834.5998,501.7738
2038,270.6077,660.2497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,99.5295,0.0,-710.8633,0.0,-0.0,0.0,0.0,0.0,0.0,377.2481,0.0,1743.9344,467.9135
2039,289.5503,706.2926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,125.8171,0.0,-585.0461,0.0,-0.0,0.0,0.0,0.0,0.0,289.9761,0.0,1600.6771,433.2333
2040,309.8188,744.0296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,156.0793,0.0,-428.9668,0.0,0.0,0.0,0.0,0.0,0.0,198.7294,0.0,1401.6933,397.7132
2041,331.5061,783.1846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,190.5943,0.0,-238.3725,0.0,0.0,0.0,0.0,0.0,0.0,103.2299,0.0,1143.5902,361.333
2042,354.7115,824.0852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,229.6598,0.0,-8.7127,0.0,0.0,0.0,0.0,0.0,0.0,3.1798,0.0,822.6983,324.0717
2043,379.5469,868.049,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,171.7756,0.0,163.0629,0.0,-0.0,0.0,0.0,0.0,0.0,0.09,0.0,536.8905,285.8978
2044,406.1092,913.7497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,86.3497,0.0,249.4127,0.0,0.0,0.0,0.0,0.0,0.0,24.5207,0.0,314.5909,246.8203
2045,434.5369,962.7018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-11.7113,0.0,237.7013,0.0,-0.0,0.0,0.0,0.0,0.0,61.5971,0.0,169.402,206.786
2046,464.9544,1014.4147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-101.0276,0.0,136.6737,0.0,-0.0,0.0,0.0,0.0,0.0,101.0167,0.0,104.6366,165.7821
2047,497.5013,1069.9658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-73.7674,0.0,62.9063,0.0,-0.0,0.0,0.0,0.0,0.0,73.7556,0.0,54.607,123.7853
2048,532.3263,1129.9474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,-44.7535,0.0,18.1528,0.0,0.0,0.0,0.0,0.0,0.0,44.741,0.0,18.5765,80.7714
2049,569.5892,1198.4756,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,-18.1528,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,18.1394,0.0,0.0,36.7159
2050,604.1039,1282.2063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2051,644.4732,1343.5646,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2052,656.7905,1367.2431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2053,664.2017,1391.5993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,671.5258,1416.1379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,678.5681,1441.0932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2056,685.0289,1466.7334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2057,693.9255,1492.1658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,707.804,1497.2422,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
